Commodity,Baseline_MAE,GeoPrice_MAE,MAE_Improvement,MAE_Improvement_Pct,Baseline_RMSE,GeoPrice_RMSE,RMSE_Improvement,RMSE_Improvement_Pct,Baseline_Directional_Accuracy,GeoPrice_Directional_Accuracy,Directional_Accuracy_Improvement_Points
Brent,0.0634146781469259,0.0628510882572518,0.0005635898896741015,0.8887372862924829,0.0871491756457711,0.0868383612066851,0.00031081443908599626,0.35664644763748665,0.5380710659898477,0.5583756345177665,2.0304568527918843
Natural_Gas,0.0930163931880252,0.0930649945383407,-4.860135031550805e-05,-0.05225030626296626,0.12188933187194,0.1220992129768443,-0.00020988110490430256,-0.17218988871381208,0.5279187817258884,0.5126903553299492,-1.5228426395939132
Gold,0.0285424990810093,0.0285202421321124,2.2256948896900303e-05,0.07797827665240752,0.0358195982681319,0.0357559641242978,6.363414383409732e-05,0.17765175186431828,0.5384615384615384,0.5384615384615384,0.0
Copper,0.0358143117903048,0.0365705034901713,-0.0007561916998664944,-2.111423232963536,0.0462907128788973,0.0469424050939741,-0.000651692215076799,-1.4078249708137203,0.5583756345177665,0.5380710659898477,-2.0304568527918843
Wheat,0.0527204047057063,0.0537140622851455,-0.0009936575794392,-1.8847684971045935,0.0701516491874436,0.0704171570541843,-0.00026550786674070515,-0.378477013464465,0.5634517766497462,0.4923857868020304,-7.106598984771583
