episode_id,representative_shock_date,episode_start,episode_end,representative_level,representative_change,raw_shock_count,cluster_dates
1,1993-01,1993-01,1993-01,114.82777404785156,53.94230270385742,1,1993-01
2,1998-08,1998-08,1998-08,123.8387451171875,85.53942108154297,1,1998-08
3,2000-05,2000-05,2000-05,83.22781372070312,42.310787200927734,1,2000-05
4,2000-10,2000-10,2000-10,77.61014556884766,42.41800308227539,1,2000-10
5,2001-09,2001-09,2001-09,841.177490234375,766.285285949707,1,2001-09
6,2003-03,2003-03,2003-03,429.1441955566406,216.06387329101562,1,2003-03
7,2004-03,2004-03,2004-03,183.70297241210935,54.458694458007784,1,2004-03
8,2005-07,2005-07,2005-07,237.5650177001953,144.14749145507812,1,2005-07
9,2011-03,2011-03,2011-03,157.47984313964844,71.99301147460938,1,2011-03
10,2015-01,2015-01,2015-01,153.33984375,57.102478027343764,1,2015-01
11,2015-11,2015-11,2015-11,213.99351501464844,105.47909545898438,1,2015-11
12,2016-07,2016-07,2016-07,145.14874267578125,44.29136657714845,1,2016-07
13,2017-06,2017-06,2017-08,146.67166137695312,46.96685791015625,2,"2017-06, 2017-08"
14,2022-03,2022-02,2022-03,250.9558563232422,145.737548828125,2,"2022-02, 2022-03"
15,2023-10,2023-10,2023-10,221.80393981933597,153.33802032470706,1,2023-10
16,2024-08,2024-08,2024-08,165.17947387695312,70.06917572021484,1,2024-08
17,2024-12,2024-12,2024-12,164.81373596191406,37.384864807128906,1,2024-12
18,2025-10,2025-10,2025-10,151.55816650390625,36.33421325683592,1,2025-10
19,2026-03,2026-03,2026-03,450.3603515625,369.1197280883789,1,2026-03
