episode_id,regime,start_date,end_date,representative_date,representative_GPR,month_count
87,HIGH,2005-08,2005-08,2005-08,116.2276611328125,1
88,MODERATE,2005-09,2005-09,2005-09,103.8076629638672,1
89,LOW,2005-10,2005-11,2005-10,87.06182861328125,2
90,MODERATE,2005-12,2006-02,2006-02,95.85819244384766,3
91,LOW,2006-03,2006-05,2006-03,92.79762268066406,3
92,MODERATE,2006-06,2006-06,2006-06,102.57276916503906,1
93,HIGH,2006-07,2006-07,2006-07,137.13482666015625,1
94,EXTREME,2006-08,2006-08,2006-08,147.08111572265625,1
95,MODERATE,2006-09,2006-10,2006-10,113.1352996826172,2
96,LOW,2006-11,2006-12,2006-12,90.60655975341795,2
97,MODERATE,2007-01,2007-02,2007-01,97.9200439453125,2
98,LOW,2007-03,2007-05,2007-05,92.5995864868164,3
99,MODERATE,2007-06,2007-07,2007-07,112.34625244140624,2
100,LOW,2007-08,2007-08,2007-08,83.17320251464844,1
101,MODERATE,2007-09,2007-10,2007-10,101.47301483154295,2
102,LOW,2007-11,2007-11,2007-11,89.79544830322266,1
103,MODERATE,2007-12,2007-12,2007-12,94.96749114990234,1
104,LOW,2008-01,2009-08,2008-12,92.3664321899414,20
105,MODERATE,2009-09,2009-09,2009-09,92.8399887084961,1
106,LOW,2009-10,2009-11,2009-10,90.57640075683594,2
107,MODERATE,2009-12,2009-12,2009-12,92.94691467285156,1
108,LOW,2010-01,2010-05,2010-01,91.58102416992188,5
109,MODERATE,2010-06,2010-06,2010-06,96.45369720458984,1
110,LOW,2010-07,2010-10,2010-08,80.99386596679688,4
111,MODERATE,2010-11,2010-12,2010-12,97.20389556884766,2
112,LOW,2011-01,2011-02,2011-02,90.01448822021484,2
113,HIGH,2011-03,2011-03,2011-03,136.8883056640625,1
114,LOW,2011-04,2011-04,2011-04,91.01776885986328,1
115,MODERATE,2011-05,2011-05,2011-05,105.34491729736328,1
116,LOW,2011-06,2012-03,2012-02,92.4458236694336,10
117,MODERATE,2012-04,2012-04,2012-04,96.01668548583984,1
118,LOW,2012-05,2013-03,2013-01,90.6574935913086,11
119,MODERATE,2013-04,2013-04,2013-04,95.10787200927734,1
120,LOW,2013-05,2013-08,2013-08,90.95674896240234,4
121,MODERATE,2013-09,2013-09,2013-09,100.4593276977539,1
122,LOW,2013-10,2014-02,2014-01,77.91596984863281,5
123,HIGH,2014-03,2014-03,2014-03,119.83855438232422,1
124,MODERATE,2014-04,2014-04,2014-04,93.22154235839844,1
125,LOW,2014-05,2014-05,2014-05,83.4288558959961,1
126,MODERATE,2014-06,2014-06,2014-06,98.76710510253906,1
127,HIGH,2014-07,2014-09,2014-07,138.7539520263672,3
128,LOW,2014-10,2014-12,2014-12,86.5262222290039,3
129,MODERATE,2015-01,2015-04,2015-01,111.9856948852539,4
130,LOW,2015-05,2015-06,2015-06,85.90596771240234,2
131,MODERATE,2015-07,2015-07,2015-07,106.80866241455078,1
132,LOW,2015-08,2015-08,2015-08,82.47853088378906,1
133,MODERATE,2015-09,2015-09,2015-09,98.7674560546875,1
134,LOW,2015-10,2015-10,2015-10,91.931884765625,1
135,EXTREME,2015-11,2015-12,2015-11,150.71588134765625,2
136,HIGH,2016-01,2016-01,2016-01,118.21114349365234,1
137,MODERATE,2016-02,2016-03,2016-03,109.72029113769533,2
138,LOW,2016-04,2016-06,2016-06,90.16812896728516,3
139,HIGH,2016-07,2016-07,2016-07,114.6104507446289,1
140,MODERATE,2016-08,2016-09,2016-09,104.54522705078124,2
141,LOW,2016-10,2016-11,2016-10,85.74778747558594,2
142,MODERATE,2016-12,2017-01,2017-01,105.20123291015624,2
143,HIGH,2017-02,2017-02,2017-02,114.20635986328124,1
144,MODERATE,2017-03,2017-03,2017-03,96.63587951660156,1
145,HIGH,2017-04,2017-04,2017-04,119.45992279052734,1
146,MODERATE,2017-05,2017-05,2017-05,102.57996368408205,1
147,HIGH,2017-06,2017-06,2017-06,126.7890167236328,1
148,MODERATE,2017-07,2017-07,2017-07,102.81346130371094,1
149,HIGH,2017-08,2017-09,2017-08,138.5316162109375,2
150,LOW,2017-10,2018-02,2017-11,92.59601593017578,5
151,MODERATE,2018-03,2018-03,2018-03,111.96229553222656,1
152,HIGH,2018-04,2018-05,2018-05,125.66661834716795,2
153,MODERATE,2018-06,2018-08,2018-08,112.74168395996094,3
154,LOW,2018-09,2019-01,2018-10,92.0164794921875,5
155,MODERATE,2019-02,2019-02,2019-02,96.80016326904295,1
156,LOW,2019-03,2019-04,2019-03,82.32829284667969,2
157,MODERATE,2019-05,2019-08,2019-06,106.58845520019533,4
158,LOW,2019-09,2019-09,2019-09,90.36798858642578,1
159,MODERATE,2019-10,2019-10,2019-10,97.83673095703124,1
160,LOW,2019-11,2019-12,2019-12,74.27989196777344,2
161,HIGH,2020-01,2020-01,2020-01,138.4209442138672,1
162,LOW,2020-02,2021-04,2021-04,88.16622161865234,15
163,MODERATE,2021-05,2021-05,2021-05,93.00713348388672,1
164,LOW,2021-06,2021-11,2021-08,89.4865493774414,6
165,MODERATE,2021-12,2021-12,2021-12,105.34542083740234,1
166,HIGH,2022-01,2022-01,2022-01,138.67498779296875,1
167,EXTREME,2022-02,2022-04,2022-03,318.9549255371094,3
168,HIGH,2022-05,2022-11,2022-10,143.16241455078125,7
169,MODERATE,2022-12,2023-01,2022-12,111.19593811035156,2
170,HIGH,2023-02,2023-02,2023-02,120.99437713623048,1
171,MODERATE,2023-03,2023-09,2023-06,110.52894592285156,7
172,EXTREME,2023-10,2023-11,2023-10,197.8870086669922,2
173,HIGH,2023-12,2023-12,2023-12,142.2794647216797,1
174,EXTREME,2024-01,2024-01,2024-01,160.3736572265625,1
175,HIGH,2024-02,2024-03,2024-02,146.59817504882812,2
176,EXTREME,2024-04,2024-04,2024-04,163.9473419189453,1
177,HIGH,2024-05,2024-05,2024-05,130.52186584472656,1
178,MODERATE,2024-06,2024-06,2024-06,113.0927963256836,1
179,LOW,2024-07,2024-07,2024-07,92.3948745727539,1
180,HIGH,2024-08,2024-12,2024-12,142.36643981933594,5
181,MODERATE,2025-01,2025-01,2025-01,113.233154296875,1
182,HIGH,2025-02,2025-02,2025-02,136.9805908203125,1
183,EXTREME,2025-03,2025-03,2025-03,174.3096466064453,1
184,HIGH,2025-04,2025-04,2025-04,140.9822540283203,1
185,EXTREME,2025-05,2025-06,2025-06,221.1349029541016,2
186,HIGH,2025-07,2025-09,2025-08,138.98846435546875,3
187,EXTREME,2025-10,2025-10,2025-10,154.52259826660156,1
188,MODERATE,2025-11,2025-11,2025-11,104.35176849365234,1
189,HIGH,2025-12,2025-12,2025-12,132.48622131347656,1
190,EXTREME,2026-01,2026-01,2026-01,168.62986755371094,1
191,HIGH,2026-02,2026-02,2026-02,119.86540985107422,1
192,EXTREME,2026-03,2026-07,2026-03,330.17681884765625,5
