Commodity,Horizon,N,Mean,Median,Min,Max
Brent,+1M,17,-0.03947398480020189,-0.047092695730846734,-0.18595004467809073,0.10975517744623153
Brent,+2M,17,-0.08038174027812446,-0.04748392021394876,-0.468732931387813,0.15013091163066083
Brent,+3M,17,-0.09383231673879219,-0.0697312075813119,-0.5798249699839854,0.13321567873694096
Natural_Gas,+1M,17,0.02595027364515487,-0.0041320395561540435,-0.11633478065578673,0.35673888236421036
Natural_Gas,+2M,17,0.07933697926725085,0.017688843493198325,-0.21302771302771295,0.6453145270449812
Natural_Gas,+3M,17,0.11004498490608618,0.05599640664770167,-0.18006993006993,0.7900360433019784
Gold,+1M,17,0.0015167092914528668,-0.003877124962719969,-0.038123167155425186,0.04089068825910935
Gold,+2M,17,0.006374185118617126,0.003039513677811634,-0.05644546147978646,0.08906882591093113
Gold,+3M,17,0.018527153574827947,0.040752351097178785,-0.12932454695222406,0.10849056603773577
Copper,+1M,17,-0.006171077468568036,-0.005527014010356268,-0.05694697128421411,0.05083389518185921
Copper,+2M,17,-0.006928819217425654,-0.0027739789557241767,-0.1406977042142915,0.07849544611547254
Copper,+3M,17,-0.009211967047073355,0.01623833053656365,-0.16136682980798367,0.12406635171157876
Wheat,+1M,17,0.006312346503065375,0.0027932960893852776,-0.05053491747755412,0.07666591371131726
Wheat,+2M,17,0.02158294732996091,0.04313725490196174,-0.11477180664326225,0.14572260101990553
Wheat,+3M,17,-0.02418821891650482,0.008442132129184765,-0.18036664695446492,0.09916994320664085
