Date,GPR,GPR_percentile,GPR_regime
1985-01,102.17337799072266,62.324649298597194,MODERATE
1985-02,117.10202026367188,76.75350701402806,HIGH
1985-03,124.77815246582033,81.1623246492986,HIGH
1985-04,87.92900085449219,40.6813627254509,LOW
1985-05,103.26284790039062,63.92785571142285,MODERATE
1985-06,148.78282165527344,90.98196392785572,EXTREME
1985-07,133.90542602539062,84.76953907815631,HIGH
1985-08,82.78410339355469,30.260521042084168,LOW
1985-09,102.43449401855467,62.92585170340681,MODERATE
1985-10,105.99191284179688,67.93587174348697,MODERATE
1985-11,94.84818267822266,52.90581162324649,MODERATE
1985-12,96.4211654663086,55.31062124248497,MODERATE
1986-01,135.36074829101562,85.37074148296594,HIGH
1986-02,98.75003051757812,59.118236472945895,MODERATE
1986-03,98.67667388916016,58.71743486973948,MODERATE
1986-04,148.31385803222656,90.5811623246493,EXTREME
1986-05,117.38924407958984,77.55511022044088,HIGH
1986-06,96.29425048828124,55.11022044088177,MODERATE
1986-07,94.70178985595705,52.50501002004008,MODERATE
1986-08,103.34593963623048,64.12825651302606,MODERATE
1986-09,117.1078872680664,76.95390781563127,HIGH
1986-10,96.7924346923828,55.91182364729459,MODERATE
1986-11,109.77281951904295,70.94188376753507,MODERATE
1986-12,89.75377655029297,44.48897795591183,LOW
1987-01,96.94281768798828,56.31262525050101,MODERATE
1987-02,100.683349609375,60.92184368737475,MODERATE
1987-03,89.60771942138672,43.88777555110221,LOW
1987-04,113.39408111572266,74.749498997996,MODERATE
1987-05,98.65091705322266,58.517034068136276,MODERATE
1987-06,94.18240356445312,51.50300601202405,MODERATE
1987-07,98.87196350097656,59.719438877755515,MODERATE
1987-08,99.96844482421876,60.521042084168336,MODERATE
1987-09,121.16707611083984,80.16032064128257,HIGH
1987-10,101.05858612060548,61.723446893787575,MODERATE
1987-11,96.15348815917967,54.70941883767535,MODERATE
1987-12,109.85638427734376,71.14228456913828,MODERATE
1988-01,83.20153045654297,31.462925851703407,LOW
1988-02,86.20614624023438,37.675350701402806,LOW
1988-03,110.20651245117188,71.7434869739479,MODERATE
