Commodity,N,Accuracy,Balanced_Accuracy,Precision,Recall,ROC_AUC
Brent,197,0.5329949238578681,0.5091900311526479,0.5490196078431373,0.7850467289719626,0.5179646936656283
Natural_Gas,197,0.5126903553299492,0.5117501546072974,0.5161290322580645,0.32653061224489793,0.5137085137085138
Gold,198,0.48484848484848486,0.47803379416282643,0.512396694214876,0.5904761904761905,0.553200204813108
Copper,197,0.5177664974619289,0.5142326732673268,0.5238095238095238,0.6534653465346535,0.514026402640264
Wheat,197,0.5583756345177665,0.5585051546391753,0.55,0.5670103092783505,0.5573195876288659
